artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,genre
Florida Georgia Line,Cruise,0.0189,0.464,208960,0.945,0,10,0.0575,-3.342,0.0354,148.012,4,0.869,country
Willie Nelson,On the Road Again,0.687,0.731,148107,0.716,0.000882,4,0.597,-7.962,0.0417,111.281,4,0.78,country
Keith Urban,Somebody Like You,0.127,0.646,323467,0.887,0.000259,9,0.0698,-4.452,0.0381,110.964,4,0.525,country
Jana Kramer,Love,0.28,0.599,204880,0.668,0,8,0.109,-5.247,0.0293,101.939,4,0.323,country
Eli Young Band,Dust,0.0259,0.583,198933,0.928,0.00291,0,0.203,-3.739,0.0385,130.97,4,0.543,country
Carrie Underwood,Something in the Water,0.0284,0.456,237093,0.878,0,7,0.0823,-2.752,0.0575,139.764,4,0.112,country
Hunter Hayes,Invisible,0.327,0.38,276400,0.568,0,1,0.0822,-5.713,0.0436,155.956,4,0.27,country
Scotty McCreery,Feelin’ It,0.107,0.584,198227,0.771,0,7,0.0844,-5.322,0.0514,184.114,4,0.686,country
Lonestar,Amazed,0.23,0.56,240000,0.541,0,1,0.118,-7.97,0.0288,139.76,4,0.272,country
Big & Rich,Look at You,0.0749,0.502,223307,0.821,0,11,0.0954,-4.895,0.0463,81.806,4,0.71,country
Tim McGraw,Shotgun Rider,0.132,0.457,235387,0.904,6.88e-06,7,0.152,-4.592,0.0489,167.852,4,0.695,country
The Band Perry,Chainsaw,0.168,0.608,227840,0.732,0,2,0.0817,-4.254,0.0251,84.006,4,0.654,country
Sugarland,Stay,0.764,0.55,284427,0.284,0,4,0.122,-8.277,0.038,135.117,4,0.439,country
Lady Antebellum,Bartender,0.016,0.626,198267,0.936,4.41e-06,11,0.337,-3.86,0.036,101.01,4,0.674,country
Dierks Bentley,Drunk On A Plane,0.00512,0.439,254467,0.754,7.45e-06,9,0.186,-5.566,0.0323,205.958,4,0.666,country
Tim McGraw,Meanwhile Back At Mama's,0.572,0.614,230867,0.677,1.92e-05,6,0.22,-8.673,0.0371,86.476,4,0.642,country
Crystal Castles,Vanished,0.00441,0.683,242547,0.87,9.82e-05,0,0.264,-7.197,0.028,119.983,4,0.523,electro
Sub Focus,Tidal Wave,0.0502,0.532,228827,0.868,2.03e-06,5,0.64,-5.286,0.0419,173.948,4,0.509,electro
Bag Raiders,Shooting Stars,0.0933,0.634,235813,0.711,0.0309,11,0.0823,-6.187,0.0457,124.962,4,0.47,electro
Deorro,Five Hours,0.0197,0.88,326888,0.821,0.661,5,0.234,-2.545,0.118,127.907,4,0.576,electro
Azealia Banks,212,0.0852,0.858,203373,0.789,0,11,0.229,-7.462,0.291,125.993,4,0.658,electro
Oliver Heldens,Gecko (Overdrive) - Radio Edit,0.00521,0.609,165441,0.885,1.15e-05,0,0.336,-5.469,0.0642,124.959,4,0.748,electro
Calvin Harris,Summer,0.0215,0.603,224507,0.861,0.043,4,0.1,-3.565,0.0325,127.962,4,0.72,electro
Diplo,Revolution (feat. Faustix & Imanos and Kai),0.00499,0.634,263716,0.724,0.000193,5,0.0732,-5.842,0.0546,148.024,4,0.314,electro
ZHU,Faded,0.00843,0.867,223480,0.477,0.175,9,0.113,-7.183,0.049,124.979,4,0.612,electro
Avicii,Hey Brother,0.0279,0.537,255093,0.777,6.12e-05,7,0.0838,-4.829,0.0473,124.943,4,0.412,electro
Stromae,Papaoutai,0.0356,0.721,231509,0.836,0,10,0.0732,-6.517,0.0823,115.906,4,0.256,electro
Duke Dumont,I Got U,0.00369,0.647,285596,0.762,0.00641,0,0.0884,-7.765,0.0363,120.832,4,0.438,electro
Krewella,Alive,0.00304,0.671,288880,0.828,0.00287,9,0.352,-2.907,0.053,127.976,4,0.566,electro
Galantis,Runaway (U & I),0.00711,0.506,227074,0.805,0.00193,1,0.0856,-4.119,0.0469,126.008,4,0.385,electro
Avicii,Addicted To You,0.0494,0.549,148387,0.778,0,1,0.0819,-4.071,0.0451,128.089,4,0.3,electro
Skrillex,First Of The Year (Equinox),0.00711,0.429,261517,0.948,0.0148,5,0.0812,-3.657,0.227,115.785,3,0.561,electro
Haddaway,What Is Love,0.0234,0.688,269456,0.77,0.00783,7,0.076,-7.962,0.0312,123.868,4,0.76,electro
ATB,Ecstasy,0.135,0.658,261093,0.878,0.591,8,0.0948,-6.834,0.0346,130.009,4,0.908,electro
LMFAO,Party Rock Anthem,0.0257,0.751,262147,0.733,0,5,0.224,-4.129,0.134,130.015,4,0.333,electro
Duke Dumont,Won't Look Back,0.0113,0.523,203046,0.863,0.204,8,0.113,-4.975,0.0553,124.046,4,0.428,electro
Knife Party,Begin Again,0.000219,0.636,355200,0.968,0.586,8,0.0853,-3.408,0.0596,127.986,4,0.549,electro
Steve Angello,Wasted Love (feat. Dougy),0.475,0.539,209531,0.936,0.104,10,0.106,-3.803,0.112,128.015,4,0.211,electro
Crystal Castles,Not In Love,0.00172,0.487,226987,0.98,0.00282,7,0.358,-4.21,0.0868,135.93,4,0.162,electro
Skrillex,Bangarang (feat. Sirah),0.0145,0.716,215253,0.972,3.22e-05,7,0.317,-2.302,0.196,110.026,4,0.566,electro
Aphex Twin,180db_ [130],0.00104,0.828,191467,0.61,0.894,1,0.0792,-7.305,0.0649,130.064,4,0.566,electro
Porter Robinson,Lionhearted,0.0233,0.621,266107,0.731,0.000866,8,0.15,-6.924,0.0344,120.01,4,0.349,electro
Chromeo,Jealous (I Ain't With It),0.00823,0.739,228027,0.82,0,5,0.2,-6.099,0.0889,127.984,4,0.783,electro
The Prodigy,Smack My Bitch Up,0.00294,0.598,342733,0.993,0.606,10,0.102,-4.527,0.13,136.242,4,0.276,electro
Basement Jaxx,Never Say Never,0.00779,0.753,263053,0.789,0.111,8,0.325,-7.469,0.0274,126.008,4,0.645,electro
Afrojack,The Spark,0.142,0.637,243754,0.93,0,11,0.133,-3.754,0.0463,126.031,4,0.515,electro
Gold Panda,You,0.000905,0.505,216373,0.955,0.835,1,0.322,-4.84,0.0814,179.856,4,0.657,electro
Bingo Players,Knock You Out,0.0274,0.631,170000,0.773,0,0,0.508,-4.342,0.041,128.059,4,0.467,electro
The Prodigy,Breathe,0.0091,0.679,334800,0.822,0.871,9,0.0388,-6.117,0.0498,130.036,4,0.323,electro
Tiësto,Red Lights,0.000626,0.654,263890,0.811,0,10,0.234,-4.767,0.0392,124.993,4,0.557,electro
David Guetta,Lovers on the Sun (feat. Sam Martin),0.0932,0.645,203520,0.891,3.88e-06,6,0.379,-2.505,0.0387,124.915,4,0.564,electro
Breakbot,Baby I'm Yours (feat. Irfane),0.67,0.806,219800,0.807,1.04e-05,2,0.0811,-3.735,0.0728,118.063,4,0.808,electro
Swedish House Mafia,Greyhound,0.00666,0.723,410097,0.806,0.876,0,0.276,-4.989,0.0521,124.976,4,0.55,electro
Aphex Twin,minipops 67 [120.2][source field mix],0.284,0.716,287587,0.83,0.887,0,0.067,-7.661,0.0395,120.194,4,0.129,electro
Knife Party,Bonfire,0.000117,0.536,272078,0.944,0.00345,1,0.353,-3.029,0.0867,174.031,4,0.596,electro
Avicii,Wake Me Up,0.00346,0.518,247427,0.784,0.00187,2,0.171,-5.659,0.0524,124.102,4,0.609,electro
Calvin Harris,Blame,0.0282,0.412,214427,0.859,0.00715,0,0.404,-4.095,0.0852,127.934,4,0.377,electro
Justice,Genesis,0.0202,0.712,234960,0.788,0.329,2,0.0978,-5.122,0.362,117.13,4,0.28,electro
Skrillex,Scary Monsters And Nice Sprites,0.00336,0.523,243354,0.944,0.557,7,0.119,-3.581,0.0837,139.997,4,0.32,electro
Robin S,Show Me Love,0.014,0.811,252107,0.833,2.06e-05,5,0.0769,-4.259,0.153,120.258,4,0.582,electro
Stromae,Formidable,0.0934,0.55,213933,0.635,0,4,0.198,-9.068,0.183,72.426,4,0.492,electro
Tiësto,Wasted,0.00155,0.642,190014,0.819,0.00144,2,0.197,-5.459,0.0313,112.004,4,0.378,electro
Chromeo,Come Alive (feat. Toro Y Moi),0.208,0.843,238479,0.757,8.28e-05,5,0.0828,-5.633,0.038,129.934,4,0.953,electro
Krewella,Enjoy the Ride,0.237,0.556,211693,0.873,2.63e-06,1,0.078,-1.145,0.164,127.993,4,0.481,electro
Zedd,Find You,0.0263,0.534,203307,0.74,1.44e-06,3,0.095,-5.623,0.0386,127.99,4,0.402,electro
Daft Punk,One More Time,0.0193,0.611,320357,0.697,0,2,0.332,-8.618,0.133,122.752,4,0.471,electro
Steve Aoki,Delirious (Boneless),0.0193,0.698,223880,0.908,0,1,0.17,-4.441,0.0563,127.948,4,0.916,electro
Alle Farben,She Moves,0.296,0.821,192613,0.507,0.000754,7,0.174,-7.891,0.0686,116.959,4,0.66,electro
Klangkarussell,Netzwerk (Falls Like Rain),0.00374,0.552,232220,0.71,5.26e-05,7,0.152,-6.988,0.0378,128.015,4,0.247,electro
LMFAO,Sexy And I Know It,0.11,0.7,199493,0.851,0,7,0.182,-4.147,0.309,130.041,4,0.775,electro
Major Lazer,"Bubble Butt [feat. Bruno Mars, Tyga & Mystic]",0.011,0.883,227813,0.76,0.00185,7,0.551,-6.999,0.29,97.006,4,0.371,electro
Katy B,Crying for No Reason,0.393,0.664,243240,0.712,0.000519,1,0.0789,-4.847,0.0343,111.976,4,0.227,electro
Todd Terje,Inspector Norse,0.0586,0.912,400797,0.773,0.71,7,0.341,-7.017,0.0426,119.994,4,0.887,electro
Calvin Harris,Slow Acid,0.501,0.653,219693,0.949,0.833,5,0.153,-4.31,0.045,104.049,4,0.0881,electro
Juan Magán,Si No Te Quisiera,0.184,0.705,185480,0.865,0,0,0.0665,-2.731,0.0649,127.968,4,0.786,electro
Benny Benassi,Cinema - Skrillex Remix,0.00901,0.635,307987,0.983,0.00799,6,0.0683,-3.807,0.174,145.085,4,0.422,electro
Flux Pavilion,I Can't Stop,0.00108,0.524,305786,0.601,0.601,0,0.398,-13.399,0.0335,139.972,4,0.325,electro
Yelle,Complètement fou,0.0986,0.823,230467,0.506,0.000503,0,0.577,-5.516,0.0966,126.052,4,0.5,electro
David Guetta,Dangerous (feat. Sam Martin),0.417,0.466,203641,0.747,9.76e-06,4,0.107,-4.838,0.0795,92.161,4,0.43,electro
The Chemical Brothers,Hey Boy Hey Girl,0.119,0.632,290493,0.92,0.508,2,0.114,-4.976,0.0531,127.001,4,0.37,electro
Knife Party,Boss Mode,0.00174,0.542,227280,0.978,0.651,8,0.0255,-2.404,0.121,176.046,4,0.299,electro
Swedish House Mafia,Don't You Worry Child,0.0411,0.614,212960,0.772,0,11,0.175,-5.403,0.0485,129.02,4,0.42,electro
deadmau5,Ghosts 'n' Stuff,4.73e-05,0.611,328747,0.613,0.105,8,0.159,-6.942,0.129,127.979,4,0.454,electro
The Prodigy,Firestarter,0.00334,0.545,279800,0.948,0.379,11,0.226,-5.098,0.0781,141.498,4,0.357,electro
Steve Aoki,Boneless,0.00445,0.743,270000,0.962,0.613,11,0.352,-3.205,0.0629,127.99,4,0.641,electro
Azealia Banks,Chasing Time,0.0142,0.619,211207,0.884,0,6,0.0981,-5.87,0.209,128.092,4,0.441,electro
Chromeo,Old 45's,0.164,0.817,227907,0.654,0.00194,8,0.21,-6.786,0.193,95.984,4,0.61,electro
Stromae,tous les mêmes,0.208,0.676,210933,0.651,0.0026,5,0.278,-9.088,0.135,110.02,4,0.648,electro
Porter Robinson,Flicker,0.0341,0.587,279000,0.717,0.000426,1,0.166,-3.748,0.118,91.992,4,0.564,electro
Daft Punk,Get Lucky - Radio Edit,0.0426,0.794,248413,0.811,1.07e-06,6,0.101,-8.966,0.038,116.047,4,0.865,electro
Aphex Twin,produk 29 [101],0.0251,0.815,303920,0.564,0.796,1,0.0669,-8.358,0.0657,101.005,4,0.311,electro
Major Lazer,Come On To Me (feat. Sean Paul),0.0107,0.658,213827,0.913,2.38e-05,2,0.101,-4.375,0.0451,110.005,4,0.362,electro
LMFAO,Shots,0.0118,0.823,222133,0.826,1.93e-06,1,0.205,-2.055,0.0514,127.996,4,0.189,electro
Eric Prydz,Liberate,0.0024,0.515,313388,0.877,0.802,5,0.623,-5.413,0.0356,126.996,4,0.444,electro
Kavinsky,Nightcall,0.0113,0.535,258413,0.857,0.00751,9,0.472,-5.2,0.0543,91.053,4,0.431,electro
Moderat,A New Error,0.0298,0.719,367307,0.461,0.801,11,0.0634,-11.338,0.037,110.991,4,0.103,electro
Gesaffelstein,Pursuit,0.0619,0.682,247603,0.934,0.926,7,0.106,-4.822,0.0741,108.982,3,0.0735,electro
Major Lazer,Get Free (feat. Amber of Dirty Projectors),0.14,0.525,291162,0.538,0.117,11,0.095,-9.366,0.0783,175.953,4,0.791,electro
NERO,Promises,4.95e-05,0.491,257360,0.944,0.00427,9,0.616,-4.271,0.0648,143.958,4,0.34,electro
Robin Schulz,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,0.0969,0.548,179960,0.723,1.28e-05,6,0.337,-6.002,0.0375,125.088,4,0.476,electro
Gary Pine Participação Super Dragões,Love Generation,0.198,0.709,251933,0.836,1.61e-06,1,0.283,-5.13,0.0413,128.07,4,0.497,electro
Duck Sauce,Barbra Streisand,0.000221,0.798,300234,0.927,0.453,1,0.0409,-2.27,0.0882,127.959,4,0.395,electro
Krewella,Live for the Night,0.0138,0.499,206480,0.843,0,6,0.124,-2.224,0.113,127.932,4,0.508,electro
The Chemical Brothers,Galvanize,0.0279,0.765,268800,0.674,0.0136,7,0.0951,-4.165,0.086,104.008,4,0.338,electro
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,0.134,0.595,217347,0.746,0,8,0.0863,-3.115,0.0398,127.96,4,0.496,electro
Bakermat,One Day (Vandaag) - Radio Edit,0.716,0.656,219333,0.594,0.0802,5,0.376,-6.043,0.0307,127.992,4,0.556,electro
Deee-Lite,Groove Is In The Heart,0.0153,0.694,231787,0.881,0.0196,1,0.0851,-4.053,0.0701,121.554,4,0.925,electro
Example,Changed The Way You Kiss Me,0.00871,0.576,193107,0.842,0.000818,4,0.119,-3.778,0.0413,126.97,4,0.253,electro
Justice,D.A.N.C.E,0.506,0.24,164293,0.893,0.919,6,0.404,-5.088,0.0737,106.621,4,0.0757,electro
Alesso,Heroes (we could be),0.0334,0.509,209867,0.752,0,5,0.262,-4.127,0.0646,125.87,4,0.355,electro
Zedd,Clarity,0.0369,0.512,271427,0.783,0,8,0.0751,-3.413,0.0744,128.056,4,0.182,electro
Daft Punk,Lose Yourself to Dance,0.0839,0.832,353893,0.659,0.00114,10,0.0753,-7.828,0.057,100.163,4,0.663,electro
David Guetta,Titanium (feat. Sia),0.069,0.599,245041,0.803,0.137,0,0.129,-3.641,0.0986,126.057,4,0.254,electro
Porter Robinson,Sad Machine,0.0344,0.475,350690,0.703,1.96e-06,0,0.0723,-4.9,0.034,88.518,4,0.302,electro
Martin Garrix,Animals,0.00181,0.675,303827,0.866,0.746,1,0.415,-6.454,0.039,128.007,4,0.0379,electro
Armin van Buuren,This Is What It Feels Like,0.0391,0.552,204360,0.831,2.93e-06,8,0.0632,-5.217,0.0298,129.889,5,0.146,electro
Mumford & Sons,Where Are You Now (Bonus Track),0.627,0.493,219600,0.346,3.08e-06,4,0.0917,-10.147,0.0411,83.113,4,0.122,folk
Bon Iver,Skinny Love,0.85,0.59,238520,0.26,4.59e-06,4,0.117,-14.065,0.0484,77.118,4,0.115,folk
Sea Of Bees,Gone,0.0723,0.549,228840,0.823,6.55e-05,11,0.103,-5.626,0.0259,118.943,4,0.795,folk
River City Extension,Glastonbury,0.282,0.46,173173,0.569,0.000401,2,0.0634,-8.037,0.0332,134.615,4,0.33,folk
The Avett Brothers,I Never Knew You,0.01,0.487,176027,0.769,0,9,0.0337,-4.797,0.0289,140.052,4,0.817,folk
Mumford & Sons,Sigh No More,0.151,0.264,251267,0.426,0,0,0.805,-13.432,0.0432,146.209,4,0.322,folk
Arlo Guthrie,Darkest Hour,0.815,0.472,237240,0.566,0.00223,5,0.721,-10.292,0.041,102.727,4,0.291,folk
Kishi Bashi,Bright Whites,0.264,0.664,256160,0.828,0,7,0.405,-6.78,0.0502,108.033,4,0.572,folk
Leonard Cohen,Anthem,0.278,0.424,366373,0.313,0.00234,1,0.107,-15.284,0.035,192.323,3,0.232,folk
The Decemberists,Rox In The Box,0.0218,0.526,187853,0.78,0,11,0.0851,-3.398,0.0275,94.333,4,0.52,folk
Iron & Wine,Upward Over The Mountain,0.898,0.612,356160,0.276,0.864,7,0.0867,-11.932,0.0358,98.61,4,0.199,folk
Mumford & Sons,Lovers' Eyes,0.0304,0.269,321227,0.332,1.15e-05,2,0.0879,-10.153,0.0331,75.717,4,0.264,folk
Trampled By Turtles,Victory,0.31,0.454,235013,0.717,0.00216,9,0.0925,-7.761,0.0329,121.552,4,0.561,folk
Jeff Buckley,Hallelujah,0.92,0.26,414587,0.133,0.000716,0,0.154,-11.156,0.0351,69.166,4,0.081,folk
Bon Iver,Towers,0.948,0.379,188040,0.321,0.518,9,0.276,-12.44,0.0325,91.72,4,0.14,folk
First Aid Kit,King of the World,0.0227,0.502,218840,0.753,0,0,0.0845,-4.764,0.0372,104.623,4,0.516,folk
Band of Horses,Slow Cruel Hands Of Time,0.391,0.445,230307,0.393,2.96e-06,9,0.099,-14.672,0.0323,115.277,4,0.211,folk
The Civil Wars,I've Got This Friend,0.87,0.597,203867,0.293,0.00013,2,0.147,-11.475,0.0344,90.025,4,0.273,folk
Mumford & Sons,After The Storm,0.903,0.505,247880,0.168,2.98e-05,7,0.109,-13.423,0.0359,152.284,4,0.105,folk
Bon Iver,Flume,0.922,0.507,219000,0.146,0.0561,11,0.108,-16.966,0.0305,66.241,4,0.0703,folk
Laura Gibson,La Grande,0.146,0.571,230293,0.509,0.919,1,0.121,-12.471,0.0319,99.317,4,0.212,folk
Edward Sharpe & The Magnetic Zeros,Home,0.32,0.545,306320,0.59,0.000389,2,0.124,-6.693,0.0327,111.739,4,0.125,folk
The Tallest Man On Earth,Wind And Walls,0.639,0.288,249587,0.589,0,6,0.0968,-4.733,0.0347,204.932,4,0.422,folk
The Lumineers,Stubborn Love,0.607,0.598,279000,0.56,0.0432,0,0.196,-11.679,0.0375,115.01,4,0.225,folk
Hannah Peel,The Almond Tree,0.101,0.375,197507,0.38,2.43e-05,6,0.0666,-10.715,0.0373,80.054,3,0.493,folk
The Avett Brothers,The Ballad Of Love And Hate,0.866,0.47,320520,0.22,1.07e-06,3,0.113,-11.727,0.043,156.109,3,0.341,folk
The Oh Hellos,Hello My Old Heart,0.624,0.557,256007,0.299,0.0308,0,0.0914,-10.634,0.0266,90.081,4,0.282,folk
A.A. Bondy,Surfer King,0.523,0.408,240933,0.325,0.0418,1,0.0972,-9.955,0.0291,140.738,4,0.359,folk
Alex Clare,Too Close,0.00995,0.565,256613,0.711,0,11,0.114,-4.179,0.0417,126.01,4,0.315,folk
Princeton,Andre,0.223,0.823,258853,0.637,0.0103,2,0.0544,-5.445,0.0363,95.005,4,0.851,folk
The Lumineers,Flapper Girl,0.874,0.75,195173,0.322,0.0128,0,0.0596,-12.078,0.0338,116.983,4,0.263,folk
Ben Howard,The Fear,0.513,0.604,260360,0.575,0.0115,11,0.112,-9.578,0.0336,125.944,4,0.438,folk
Mumford & Sons,Not With Haste,0.552,0.391,247027,0.475,0.000217,4,0.119,-10.106,0.0307,133.443,4,0.117,folk
Simon & Garfunkel,The Boxer,0.76,0.445,307667,0.486,0.000658,11,0.189,-14.521,0.0616,93.019,4,0.616,folk
Noah And The Whale,5 Years Time,0.416,0.803,215013,0.55,0,0,0.085,-7.105,0.105,121.992,4,0.749,folk
Fleet Foxes,Oliver James,0.946,0.48,203880,0.0631,0,0,0.0801,-11.913,0.0413,118.44,4,0.155,folk
Bon Iver,Holocene,0.942,0.379,336613,0.306,0.323,1,0.123,-14.446,0.0305,147.902,4,0.158,folk
Elephant Micah,If I Were a Surfer,0.802,0.501,335320,0.229,0.383,11,0.108,-16.076,0.0389,138.611,4,0.206,folk
Of Monsters and Men,Mountain Sound,0.0513,0.395,211453,0.896,0.00396,1,0.14,-4.262,0.0351,101.867,4,0.35,folk
Simon & Garfunkel,The Sound of Silence,0.871,0.531,185200,0.217,2.59e-06,6,0.101,-13.883,0.0302,106.842,4,0.333,folk
The Oh Hellos,Lay Me Down,0.0204,0.544,183438,0.422,0,7,0.332,-10.826,0.0345,140.284,4,0.359,folk
Akron/Family,"Don't Be Afraid, You're Already Dead",0.712,0.235,275960,0.31,0.00211,10,0.201,-7.737,0.0277,87.282,3,0.132,folk
Jake Bugg,Two Fingers,0.00216,0.485,195987,0.671,0,5,0.141,-5.081,0.0308,120.779,4,0.933,folk
Hey Marseilles,Elegy,0.812,0.342,257653,0.323,0.0642,5,0.102,-8.649,0.0284,144.569,3,0.215,folk
Augustines,Book Of James,0.0134,0.548,300427,0.796,0.117,8,0.0993,-6.387,0.0283,113.665,4,0.526,folk
Those Darlins,Screws Get Loose,4.88e-06,0.502,226293,0.844,0.103,9,0.156,-5.0,0.0311,122.316,4,0.852,folk
Mumford & Sons,Winter Winds,0.229,0.438,219707,0.504,0,7,0.358,-6.989,0.0275,83.839,4,0.433,folk
The Lumineers,Big Parade,0.417,0.814,327733,0.634,0.00364,4,0.14,-13.051,0.0498,121.98,4,0.662,folk
James Vincent McMorrow,We Don't Eat,0.896,0.458,293792,0.373,0.00506,7,0.122,-12.432,0.0472,124.032,4,0.311,folk
St. Augustine,Promised Land,0.618,0.743,215493,0.436,0.183,9,0.0974,-9.82,0.062,127.999,4,0.132,folk
The Head and the Heart,Cats and Dogs,0.522,0.669,115520,0.444,1.28e-06,5,0.165,-8.652,0.0584,179.932,4,0.772,folk
These United States,Dead & Gone,0.0986,0.539,192973,0.904,0,4,0.243,-5.643,0.123,103.979,4,0.495,folk
Death Cab for Cutie,I Will Follow You Into The Dark,0.924,0.517,189187,0.206,0,5,0.118,-12.233,0.0421,80.401,4,0.486,folk
Yusuf / Cat Stevens,Peace Train,0.13,0.609,251000,0.573,4.48e-05,0,0.112,-10.406,0.0454,82.494,4,0.775,folk
Sean Hayes,When We Fall In,0.795,0.595,285413,0.265,4.14e-06,11,0.0848,-9.03,0.0548,112.508,3,0.335,folk
First Aid Kit,Blue,0.369,0.681,192000,0.73,0.000649,11,0.0759,-5.684,0.0266,107.04,4,0.593,folk
Lisa Hannigan,Knots,0.456,0.493,211507,0.817,0,4,0.132,-6.098,0.0309,108.446,4,0.197,folk
The Low Anthem,Lover Is Childlike,0.706,0.556,255720,0.311,0.245,2,0.108,-14.611,0.0305,123.935,3,0.317,folk
The Lumineers,Flowers in Your Hair,0.749,0.67,109736,0.609,6.74e-05,7,0.227,-10.088,0.0333,127.463,4,0.571,folk
The Avett Brothers,Paul Newman Vs. The Demons,0.000265,0.486,282053,0.905,0.000802,0,0.206,-4.558,0.0398,141.977,4,0.308,folk
Bert Jansch,Angie,0.506,0.492,195693,0.239,0.85,0,0.105,-17.394,0.0397,80.063,4,0.398,folk
Iron & Wine,On Your Wings,0.81,0.817,233107,0.192,0.0124,2,0.11,-16.026,0.0505,97.121,4,0.809,folk
Simon & Garfunkel,Mrs. Robinson,0.772,0.61,242600,0.466,1.33e-05,6,0.0932,-13.331,0.0426,91.965,4,0.823,folk
Of Monsters and Men,Dirty Paws,0.132,0.362,278373,0.649,0.0113,3,0.0596,-7.094,0.0348,111.697,4,0.145,folk
Noah And The Whale,The First Days Of Spring,0.00387,0.296,399160,0.564,0.532,0,0.0909,-9.567,0.0369,88.743,4,0.144,folk
Angus Stone,River Love,0.395,0.43,295240,0.377,0.00245,7,0.163,-9.544,0.0311,120.651,4,0.177,folk
The Band,The Weight,0.414,0.639,274867,0.431,7.11e-06,9,0.0867,-12.494,0.0489,144.048,4,0.519,folk
Julia Holter,Moni Mon Amie,0.727,0.367,211267,0.174,0.608,5,0.0904,-14.587,0.0316,60.527,4,0.0337,folk
Bob Dylan,The Times They Are A-Changin',0.923,0.438,192707,0.344,0,7,0.107,-8.362,0.0333,171.474,4,0.617,folk
The Decemberists,The Crane Wife 3,0.369,0.588,258333,0.613,0.0422,2,0.107,-9.656,0.0396,119.536,4,0.196,folk
José González,Heartbeats,0.974,0.552,160240,0.15,0.731,3,0.0698,-16.746,0.0347,87.485,4,0.311,folk
The Civil Wars,Forget Me Not,0.758,0.403,176720,0.341,0,4,0.152,-9.462,0.0276,98.665,3,0.231,folk
Horse Feathers,Fit Against the Country,0.889,0.554,211387,0.285,0.00312,2,0.0828,-12.193,0.0326,89.017,4,0.649,folk
The Head and the Heart,Lost in My Mind,0.451,0.375,259120,0.546,0.000312,2,0.278,-8.16,0.0294,95.361,4,0.361,folk
The Dubliners,Whiskey In The Jar,0.795,0.551,178533,0.834,0.148,0,0.309,-5.238,0.0467,108.145,4,0.639,folk
The Tallest Man On Earth,1904,0.715,0.491,239733,0.585,0,0,0.103,-4.122,0.027,104.578,4,0.587,folk
Bon Iver,Blood Bank,0.963,0.489,285160,0.369,0.0238,7,0.116,-11.99,0.033,116.823,4,0.225,folk
Timber Timbre,Lay Down In The Tall Grass,0.693,0.741,338373,0.319,0.0943,9,0.143,-11.177,0.0783,148.981,3,0.396,folk
Pale Seas,Bodies,0.0699,0.515,215372,0.643,2.51e-06,7,0.13,-6.204,0.0276,130.773,4,0.505,folk
Mumford & Sons,Holland Road,0.0978,0.288,253147,0.726,0.000219,2,0.112,-6.096,0.043,75.678,4,0.392,folk
Edward Sharpe & The Magnetic Zeros,Up From Below,0.519,0.355,248960,0.754,0.0073,2,0.0889,-6.034,0.062,201.582,4,0.72,folk
James Vincent McMorrow,If I Had a Boat,0.805,0.46,247405,0.295,0.0169,7,0.111,-10.617,0.0355,107.939,4,0.181,folk
The Decemberists,Down By The Water,0.000754,0.487,221853,0.81,0,4,0.352,-4.067,0.0357,123.493,4,0.708,folk
Noah And The Whale,Waiting For My Chance To Come,0.116,0.709,174187,0.697,0,7,0.0882,-5.422,0.028,125.992,4,0.747,folk
Imagine Dragons,It's Time,0.0178,0.656,237987,0.879,0,2,0.109,-4.614,0.0362,104.997,4,0.902,folk
The Lumineers,Submarines,0.908,0.809,163240,0.52,0.125,7,0.308,-9.828,0.0322,95.031,4,0.563,folk
James Taylor,Fire And Rain,0.523,0.608,202840,0.358,9.32e-06,5,0.0946,-14.112,0.035,75.763,4,0.364,folk
Lowlakes,Song for Motion,0.912,0.441,229162,0.311,0.882,0,0.0718,-11.638,0.0285,110.554,4,0.0422,folk
Mumford & Sons,Awake My Soul,0.0503,0.263,252693,0.47,0.0371,2,0.103,-10.162,0.0372,85.349,1,0.208,folk
Ensiferum,Token Of Time,1.34e-05,0.421,255947,0.935,0.784,11,0.341,-3.079,0.082,125.136,4,0.467,folk
Radical Face,"Welcome Home, Son",0.743,0.601,285320,0.537,0.732,6,0.143,-9.464,0.0296,144.994,3,0.39,folk
Carolina Chocolate Drops,Daughter's Lament,0.884,0.638,166693,0.165,0,1,0.123,-16.487,0.186,82.686,4,0.349,folk
Middle Brother,Mom and Dad,0.0686,0.69,241920,0.448,5.1e-05,7,0.0745,-5.806,0.0328,133.556,4,0.386,folk
Laura Marling,Night Terror,0.123,0.47,189360,0.378,3.96e-06,4,0.582,-7.436,0.0367,149.414,4,0.492,folk
Bon Iver,Perth,0.86,0.491,262080,0.457,0.444,0,0.307,-14.473,0.0456,120.019,4,0.0758,folk
Ben Howard,Gracious,0.849,0.498,297173,0.249,0.000888,11,0.0893,-15.414,0.0328,77.942,4,0.198,folk
The Tallest Man On Earth,Revelation Blues,0.949,0.546,223213,0.582,0.00426,7,0.117,-4.32,0.0325,141.996,4,0.526,folk
Mumford & Sons,Dust Bowl Dance,0.0606,0.407,280653,0.602,0.00602,5,0.353,-8.194,0.0449,116.848,4,0.329,folk
