artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Skrillex,First Of The Year (Equinox),0.00711,0.429,261517,0.948,0.0148,5,0.0812,-3.657,0,0.227,115.785,3,0.561,electro
Swedish House Mafia,Greyhound,0.00666,0.723,410097,0.806,0.876,0,0.276,-4.989,1,0.0521,124.976,4,0.55,electro
Gary Pine Participação Super Dragões,Love Generation,0.198,0.709,251933,0.836,1.61e-06,1,0.283,-5.13,1,0.0413,128.07,4,0.497,electro
Bag Raiders,Shooting Stars,0.0933,0.634,235813,0.711,0.0309,11,0.0823,-6.187,1,0.0457,124.962,4,0.47,electro
Aphex Twin,produk 29 [101],0.0251,0.815,303920,0.564,0.796,1,0.0669,-8.358,0,0.0657,101.005,4,0.311,electro
Moderat,A New Error,0.0298,0.719,367307,0.461,0.801,11,0.0634,-11.338,0,0.037,110.991,4,0.103,electro
Yelle,Complètement fou,0.0986,0.823,230467,0.506,0.000503,0,0.577,-5.516,1,0.0966,126.052,4,0.5,electro
Calvin Harris,Summer,0.0215,0.603,224507,0.861,0.043,4,0.1,-3.565,0,0.0325,127.962,4,0.72,electro
Avicii,Addicted To You,0.0494,0.549,148387,0.778,0,1,0.0819,-4.071,0,0.0451,128.089,4,0.3,electro
The Prodigy,Smack My Bitch Up,0.00294,0.598,342733,0.993,0.606,10,0.102,-4.527,0,0.13,136.242,4,0.276,electro
deadmau5,Ghosts 'n' Stuff,4.73e-05,0.611,328747,0.613,0.105,8,0.159,-6.942,1,0.129,127.979,4,0.454,electro
Azealia Banks,Chasing Time,0.0142,0.619,211207,0.884,0,6,0.0981,-5.87,1,0.209,128.092,4,0.441,electro
Benny Benassi,Cinema - Skrillex Remix,0.00901,0.635,307987,0.983,0.00799,6,0.0683,-3.807,0,0.174,145.085,4,0.422,electro
Aphex Twin,minipops 67 [120.2][source field mix],0.284,0.716,287587,0.83,0.887,0,0.067,-7.661,1,0.0395,120.194,4,0.129,electro
Duke Dumont,Won't Look Back,0.0113,0.523,203046,0.863,0.204,8,0.113,-4.975,0,0.0553,124.046,4,0.428,electro
Bingo Players,Knock You Out,0.0274,0.631,170000,0.773,0,0,0.508,-4.342,1,0.041,128.059,4,0.467,electro
David Guetta,Dangerous (feat. Sam Martin),0.417,0.466,203641,0.747,9.76e-06,4,0.107,-4.838,0,0.0795,92.161,4,0.43,electro
Stromae,Formidable,0.0934,0.55,213933,0.635,0,4,0.198,-9.068,0,0.183,72.426,4,0.492,electro
Porter Robinson,Lionhearted,0.0233,0.621,266107,0.731,0.000866,8,0.15,-6.924,1,0.0344,120.01,4,0.349,electro
Daft Punk,One More Time,0.0193,0.611,320357,0.697,0,2,0.332,-8.618,1,0.133,122.752,4,0.471,electro
Flux Pavilion,I Can't Stop,0.00108,0.524,305786,0.601,0.601,0,0.398,-13.399,0,0.0335,139.972,4,0.325,electro
Galantis,Runaway (U & I),0.00711,0.506,227074,0.805,0.00193,1,0.0856,-4.119,1,0.0469,126.008,4,0.385,electro
Kavinsky,Nightcall,0.0113,0.535,258413,0.857,0.00751,9,0.472,-5.2,0,0.0543,91.053,4,0.431,electro
Calvin Harris,Blame,0.0282,0.412,214427,0.859,0.00715,0,0.404,-4.095,0,0.0852,127.934,4,0.377,electro
Major Lazer,"Bubble Butt [feat. Bruno Mars, Tyga & Mystic]",0.011,0.883,227813,0.76,0.00185,7,0.551,-6.999,1,0.29,97.006,4,0.371,electro
Stromae,Papaoutai,0.0356,0.721,231509,0.836,0,10,0.0732,-6.517,0,0.0823,115.906,4,0.256,electro
Steve Aoki,Boneless,0.00445,0.743,270000,0.962,0.613,11,0.352,-3.205,0,0.0629,127.99,4,0.641,electro
Oliver Heldens,Gecko (Overdrive) - Radio Edit,0.00521,0.609,165441,0.885,1.15e-05,0,0.336,-5.469,1,0.0642,124.959,4,0.748,electro
David Guetta,Lovers on the Sun (feat. Sam Martin),0.0932,0.645,203520,0.891,3.88e-06,6,0.379,-2.505,0,0.0387,124.915,4,0.564,electro
Krewella,Enjoy the Ride,0.237,0.556,211693,0.873,2.63e-06,1,0.078,-1.145,1,0.164,127.993,4,0.481,electro
Azealia Banks,212,0.0852,0.858,203373,0.789,0,11,0.229,-7.462,0,0.291,125.993,4,0.658,electro
Steve Angello,Wasted Love (feat. Dougy),0.475,0.539,209531,0.936,0.104,10,0.106,-3.803,1,0.112,128.015,4,0.211,electro
Major Lazer,Come On To Me (feat. Sean Paul),0.0107,0.658,213827,0.913,2.38e-05,2,0.101,-4.375,1,0.0451,110.005,4,0.362,electro
Justice,D.A.N.C.E,0.506,0.24,164293,0.893,0.919,6,0.404,-5.088,0,0.0737,106.621,4,0.0757,electro
Stromae,tous les mêmes,0.208,0.676,210933,0.651,0.0026,5,0.278,-9.088,0,0.135,110.02,4,0.648,electro
The Chemical Brothers,Galvanize,0.0279,0.765,268800,0.674,0.0136,7,0.0951,-4.165,1,0.086,104.008,4,0.338,electro
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,0.134,0.595,217347,0.746,0,8,0.0863,-3.115,1,0.0398,127.96,4,0.496,electro
Knife Party,Bonfire,0.000117,0.536,272078,0.944,0.00345,1,0.353,-3.029,1,0.0867,174.031,4,0.596,electro
Steve Aoki,Delirious (Boneless),0.0193,0.698,223880,0.908,0,1,0.17,-4.441,1,0.0563,127.948,4,0.916,electro
Daft Punk,Get Lucky - Radio Edit,0.0426,0.794,248413,0.811,1.07e-06,6,0.101,-8.966,0,0.038,116.047,4,0.865,electro
The Prodigy,Breathe,0.0091,0.679,334800,0.822,0.871,9,0.0388,-6.117,1,0.0498,130.036,4,0.323,electro
ATB,Ecstasy,0.135,0.658,261093,0.878,0.591,8,0.0948,-6.834,0,0.0346,130.009,4,0.908,electro
Breakbot,Baby I'm Yours (feat. Irfane),0.67,0.806,219800,0.807,1.04e-05,2,0.0811,-3.735,0,0.0728,118.063,4,0.808,electro
Porter Robinson,Sad Machine,0.0344,0.475,350690,0.703,1.96e-06,0,0.0723,-4.9,0,0.034,88.518,4,0.302,electro
Klangkarussell,Netzwerk (Falls Like Rain),0.00374,0.552,232220,0.71,5.26e-05,7,0.152,-6.988,0,0.0378,128.015,4,0.247,electro
Alesso,Heroes (we could be),0.0334,0.509,209867,0.752,0,5,0.262,-4.127,1,0.0646,125.87,4,0.355,electro
Daft Punk,Lose Yourself to Dance,0.0839,0.832,353893,0.659,0.00114,10,0.0753,-7.828,0,0.057,100.163,4,0.663,electro
Duke Dumont,I Got U,0.00369,0.647,285596,0.762,0.00641,0,0.0884,-7.765,1,0.0363,120.832,4,0.438,electro
Avicii,Hey Brother,0.0279,0.537,255093,0.777,6.12e-05,7,0.0838,-4.829,0,0.0473,124.943,4,0.412,electro
David Guetta,Titanium (feat. Sia),0.069,0.599,245041,0.803,0.137,0,0.129,-3.641,0,0.0986,126.057,4,0.254,electro
Porter Robinson,Flicker,0.0341,0.587,279000,0.717,0.000426,1,0.166,-3.748,1,0.118,91.992,4,0.564,electro
Skrillex,Scary Monsters And Nice Sprites,0.00336,0.523,243354,0.944,0.557,7,0.119,-3.581,0,0.0837,139.997,4,0.32,electro
Krewella,Live for the Night,0.0138,0.499,206480,0.843,0,6,0.124,-2.224,1,0.113,127.932,4,0.508,electro
Afrojack,The Spark,0.142,0.637,243754,0.93,0,11,0.133,-3.754,1,0.0463,126.031,4,0.515,electro
Knife Party,Begin Again,0.000219,0.636,355200,0.968,0.586,8,0.0853,-3.408,1,0.0596,127.986,4,0.549,electro
Robin Schulz,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,0.0969,0.548,179960,0.723,1.28e-05,6,0.337,-6.002,1,0.0375,125.088,4,0.476,electro
Gesaffelstein,Pursuit,0.0619,0.682,247603,0.934,0.926,7,0.106,-4.822,1,0.0741,108.982,3,0.0735,electro
LMFAO,Shots,0.0118,0.823,222133,0.826,1.93e-06,1,0.205,-2.055,1,0.0514,127.996,4,0.189,electro
Aphex Twin,180db_ [130],0.00104,0.828,191467,0.61,0.894,1,0.0792,-7.305,1,0.0649,130.064,4,0.566,electro
Zedd,Clarity,0.0369,0.512,271427,0.783,0,8,0.0751,-3.413,1,0.0744,128.056,4,0.182,electro
Haddaway,What Is Love,0.0234,0.688,269456,0.77,0.00783,7,0.076,-7.962,0,0.0312,123.868,4,0.76,electro
Eric Prydz,Liberate,0.0024,0.515,313388,0.877,0.802,5,0.623,-5.413,1,0.0356,126.996,4,0.444,electro
ZHU,Faded,0.00843,0.867,223480,0.477,0.175,9,0.113,-7.183,0,0.049,124.979,4,0.612,electro
Armin van Buuren,This Is What It Feels Like,0.0391,0.552,204360,0.831,2.93e-06,8,0.0632,-5.217,1,0.0298,129.889,5,0.146,electro
Of Monsters and Men,Sloom,0.581,0.474,283947,0.423,0.00273,1,0.0752,-8.75,1,0.0316,91.124,4,0.335,folk
Audrey Assad,Sparrow,0.497,0.539,208853,0.709,2.87e-06,0,0.246,-6.278,1,0.0276,98.064,4,0.435,folk
Beirut,East Harlem,0.864,0.505,238547,0.645,0.0227,7,0.105,-7.738,1,0.0375,91.84,4,0.721,folk
Ben Howard,Diamonds,0.0845,0.623,246773,0.675,0.0109,7,0.155,-10.132,1,0.0379,119.946,4,0.231,folk
Emily Jane White,Dark Undercoat,0.835,0.411,299027,0.184,0.723,4,0.109,-14.827,0,0.0306,147.483,4,0.12,folk
Radical Face,"Welcome Home, Son",0.743,0.601,285320,0.537,0.732,6,0.143,-9.464,1,0.0296,144.994,3,0.39,folk
Mumford & Sons,Broken Crown,0.0063,0.414,256400,0.633,0.000666,2,0.147,-8.615,0,0.038,127.586,4,0.259,folk
Good Old War,Calling Me Names,0.544,0.638,233893,0.629,3.57e-05,8,0.104,-9.112,1,0.026,96.04,4,0.588,folk
Angel Olsen,Acrobat,0.958,0.307,217789,0.144,0.000535,4,0.107,-14.15,1,0.037,81.926,3,0.402,folk
Kodaline,High Hopes,0.585,0.426,231200,0.474,0,4,0.119,-6.355,1,0.0324,154.469,4,0.227,folk
The Lumineers,Flapper Girl,0.874,0.75,195173,0.322,0.0128,0,0.0596,-12.078,1,0.0338,116.983,4,0.263,folk
Amos Lee,Truth,0.26,0.637,182787,0.668,0,5,0.0435,-5.268,0,0.0328,114.103,4,0.747,folk
Dry the River,New Ceremony,0.0818,0.358,252293,0.757,0.000275,6,0.12,-5.715,1,0.0444,121.245,4,0.198,folk
Donovan,Catch The Wind,0.416,0.393,175187,0.284,1.07e-05,3,0.105,-12.778,1,0.0286,173.345,3,0.562,folk
Angus Stone,Broken Brights,0.637,0.696,252227,0.328,0.503,3,0.0991,-11.553,0,0.0292,160.097,4,0.478,folk
Bon Iver,Blood Bank,0.963,0.489,285160,0.369,0.0238,7,0.116,-11.99,1,0.033,116.823,4,0.225,folk
Bright Eyes,First Day Of My Life,0.915,0.468,188800,0.201,8.28e-05,4,0.0952,-17.024,1,0.0388,94.422,4,0.384,folk
Ray LaMontagne,Jolene,0.862,0.587,250867,0.142,0.000162,7,0.0953,-15.196,1,0.0329,119.752,4,0.286,folk
The Civil Wars,To Whom It May Concern,0.912,0.309,211360,0.159,0.000264,7,0.1,-13.101,1,0.0315,87.493,4,0.14,folk
Akron/Family,"Don't Be Afraid, You're Already Dead",0.712,0.235,275960,0.31,0.00211,10,0.201,-7.737,1,0.0277,87.282,3,0.132,folk
Laura Marling,Devil's Spoke,0.473,0.447,218188,0.568,0.00028,2,0.0824,-9.172,1,0.0423,117.561,4,0.298,folk
Mumford & Sons,Lovers' Eyes,0.0304,0.269,321227,0.332,1.15e-05,2,0.0879,-10.153,1,0.0331,75.717,4,0.264,folk
Cass McCombs,Love Thine Enemy,0.61,0.605,236227,0.712,0.766,2,0.19,-10.787,1,0.0275,123.935,4,0.709,folk
The Decemberists,Down By The Water,0.000754,0.487,221853,0.81,0,4,0.352,-4.067,0,0.0357,123.493,4,0.708,folk
James Vincent McMorrow,We Don't Eat,0.896,0.458,293792,0.373,0.00506,7,0.122,-12.432,1,0.0472,124.032,4,0.311,folk
The Wooden Birds,Two Matchsticks,0.612,0.961,181067,0.674,0.623,2,0.177,-7.404,1,0.0437,131.457,4,0.971,folk
Of Monsters and Men,Lakehouse,0.00965,0.444,275187,0.546,0.0545,7,0.096,-6.431,1,0.0291,110.057,4,0.17,folk
Joni Mitchell,You Turn Me On I'm A Radio - Live,0.512,0.599,249000,0.284,0.000177,2,0.932,-17.707,1,0.0305,99.806,4,0.46,folk
Fleet Foxes,Blue Spotted Tail,0.903,0.501,185293,0.0305,0.00141,7,0.108,-21.455,1,0.0417,89.721,4,0.665,folk
Noah And The Whale,2 Atoms In A Molecule,0.461,0.633,124627,0.68,0.000108,4,0.225,-9.748,1,0.086,145.043,4,0.541,folk
Nick Drake,Northern Sky,0.54,0.539,223867,0.261,0.785,5,0.128,-18.45,0,0.0393,89.837,4,0.481,folk
Fairport Convention,Who Knows Where The Time Goes?,0.648,0.508,310173,0.134,0.157,4,0.0923,-20.767,1,0.0317,144.795,4,0.434,folk
Mumford & Sons,Ghosts That We Knew,0.532,0.366,339720,0.301,0.00479,0,0.112,-11.643,1,0.0417,159.101,4,0.0679,folk
Beirut,A Candle's Fire,0.153,0.588,199280,0.633,5.95e-05,6,0.139,-5.772,1,0.0392,119.908,4,0.582,folk
James Vincent McMorrow,If I Had a Boat,0.805,0.46,247405,0.295,0.0169,7,0.111,-10.617,1,0.0355,107.939,4,0.181,folk
The Lumineers,Dead Sea,0.81,0.713,247933,0.319,5.71e-06,0,0.142,-11.099,1,0.028,94.043,4,0.471,folk
Lowlakes,Song for Motion,0.912,0.441,229162,0.311,0.882,0,0.0718,-11.638,1,0.0285,110.554,4,0.0422,folk
Fleet Foxes,White Winter Hymnal,0.437,0.629,147027,0.534,3.33e-06,6,0.328,-9.054,0,0.0267,124.964,4,0.66,folk
She Keeps Bees,Ribbon,0.61,0.789,125173,0.313,0,6,0.0646,-8.826,1,0.196,102.545,4,0.604,folk
Joan Baez,The Night They Drove Old Dixie Down,0.595,0.575,205000,0.355,0,1,0.104,-12.668,1,0.0332,129.317,4,0.435,folk
Megafaun,Volunteers,0.186,0.602,177600,0.746,0,0,0.122,-3.528,1,0.0365,118.026,4,0.614,folk
Jake Bugg,Two Fingers,0.00216,0.485,195987,0.671,0,5,0.141,-5.081,1,0.0308,120.779,4,0.933,folk
Lost In The Trees,All Alone In An Empty House,0.618,0.425,344987,0.244,0.0181,9,0.0796,-11.023,1,0.0307,110.675,4,0.323,folk
The Falls,Home,0.723,0.667,212987,0.58,0.00275,10,0.107,-6.976,0,0.0255,110.945,4,0.432,folk
First Aid Kit,When I Grow Up,0.785,0.317,215573,0.525,4.53e-05,5,0.175,-10.377,1,0.0424,167.843,4,0.25,folk
Of Monsters and Men,King And Lionheart,0.134,0.517,273853,0.686,0.00362,3,0.113,-6.401,1,0.0442,126.524,4,0.218,folk
Ben Howard,Old Pine,0.458,0.419,328507,0.358,0.0479,5,0.168,-10.749,1,0.033,128.764,4,0.219,folk
Bon Iver,re:stacks,0.978,0.678,402267,0.0813,0.358,2,0.123,-22.859,1,0.0406,125.066,4,0.297,folk
Fleet Foxes,Sun It Rises,0.576,0.577,191493,0.285,0.0649,7,0.163,-8.442,1,0.0319,112.025,3,0.0664,folk
Fanuelle,Dirty Loverstuff,0.501,0.725,144721,0.465,0.433,1,0.106,-11.861,1,0.0264,118.144,4,0.488,folk
Mumford & Sons,The Cave,0.0536,0.592,215627,0.499,4.4e-05,4,0.113,-9.463,1,0.0374,141.938,4,0.333,folk
Horse Feathers,Fit Against the Country,0.889,0.554,211387,0.285,0.00312,2,0.0828,-12.193,0,0.0326,89.017,4,0.649,folk
Ted Gärdestad,Viking,0.3,0.511,228827,0.788,0,9,0.228,-6.508,1,0.0438,172.68,4,0.902,folk
The Tallest Man On Earth,I Won't Be Found,0.742,0.599,167533,0.49,0,10,0.146,-7.365,1,0.0289,114.073,4,0.588,folk
Grizzly Bear,Two Weeks,0.289,0.537,243160,0.712,0.00568,5,0.08,-5.597,1,0.0286,159.871,4,0.701,folk
The Avett Brothers,Murder in the City,0.922,0.632,192427,0.254,9.06e-05,3,0.13,-10.898,1,0.0338,106.026,4,0.228,folk
Augustines,Book Of James,0.0134,0.548,300427,0.796,0.117,8,0.0993,-6.387,1,0.0283,113.665,4,0.526,folk
Boy & Bear,Blood To Gold,0.00821,0.606,137333,0.702,6.32e-06,9,0.166,-6.982,0,0.0274,104.97,4,0.216,folk
Keaton Henson,Small Hands,0.912,0.649,180693,0.525,0.000111,5,0.121,-7.551,0,0.0347,97.808,4,0.61,folk
The Civil Wars,Barton Hollow,0.123,0.403,205773,0.659,0,2,0.0857,-7.338,1,0.0303,90.854,4,0.443,folk
Kishi Bashi,Bright Whites,0.264,0.664,256160,0.828,0,7,0.405,-6.78,1,0.0502,108.033,4,0.572,folk
Noah And The Whale,5 Years Time,0.416,0.803,215013,0.55,0,0,0.085,-7.105,1,0.105,121.992,4,0.749,folk
Leonard Cohen,Anthem,0.278,0.424,366373,0.313,0.00234,1,0.107,-15.284,1,0.035,192.323,3,0.232,folk
Lisa Hannigan,Knots,0.456,0.493,211507,0.817,0,4,0.132,-6.098,0,0.0309,108.446,4,0.197,folk
Julia Holter,Moni Mon Amie,0.727,0.367,211267,0.174,0.608,5,0.0904,-14.587,1,0.0316,60.527,4,0.0337,folk
Marcus Foster,Worn Down By Time,0.0852,0.598,252045,0.751,0.000113,6,0.111,-2.852,1,0.0674,147.97,4,0.409,folk
Bad Books,Holding Down the Laughter,0.0351,0.593,244240,0.864,0,7,0.148,-4.706,1,0.0294,102.039,4,0.636,folk
The Lumineers,Ho Hey,0.779,0.685,161227,0.474,1.23e-06,0,0.149,-9.105,1,0.0313,79.991,4,0.366,folk
Willis Earl Beal,Monotony,0.994,0.73,237240,0.076,0.00594,5,0.133,-14.835,1,0.0623,116.05,4,0.284,folk
Angus,The Beast,0.53,0.611,229600,0.606,0.00163,6,0.281,-8.099,0,0.0415,130.686,4,0.216,folk
Grizzly Bear,Yet Again,0.00345,0.472,318423,0.875,0.00576,4,0.128,-5.024,0,0.0446,136.064,4,0.47,folk
Arlo Guthrie,Darkest Hour,0.815,0.472,237240,0.566,0.00223,5,0.721,-10.292,1,0.041,102.727,4,0.291,folk
Gene Clark,Silver Raven,0.196,0.312,289973,0.408,0.000333,4,0.13,-11.835,0,0.027,78.339,4,0.334,folk
Mirel Wagner,The Road,0.936,0.514,161880,0.149,0.0319,9,0.111,-17.111,0,0.0354,106.789,3,0.0944,folk
Beirut,Nantes,0.786,0.541,230200,0.533,0.0102,6,0.138,-9.575,1,0.037,131.147,4,0.653,folk
Gregory Alan Isakov,The Stable Song,0.633,0.625,360933,0.432,0.00242,2,0.127,-11.948,1,0.0283,137.926,4,0.368,folk
Wild Child,Pillow Talk,0.923,0.674,258200,0.366,0.000195,10,0.123,-8.958,1,0.0591,74.818,4,0.51,folk
Eluveitie,A Rose For Epona,0.0259,0.48,266267,0.969,0,11,0.0632,-2.742,0,0.0964,100.057,4,0.153,folk
Johnny Cash,Folsom Prison Blues - Live,0.0236,0.602,163427,0.575,0.00469,5,0.83,-12.827,1,0.0559,110.951,4,0.913,folk
Laura Marling,All My Rage,0.818,0.551,171533,0.538,1.13e-06,7,0.129,-7.62,1,0.0281,104.514,4,0.375,folk
Mumford & Sons,Little Lion Man,0.0275,0.517,245173,0.492,3.2e-05,5,0.0873,-8.051,1,0.0272,138.579,4,0.446,folk
Ray LaMontagne,Let It Be Me,0.475,0.614,280227,0.283,0,0,0.114,-8.008,1,0.027,107.674,3,0.316,folk
The Decemberists,Don't Carry It All,0.0249,0.494,256560,0.836,0,7,0.457,-4.327,1,0.0531,142.56,4,0.605,folk
Iron & Wine,"Flightless Bird, American Mouth",0.795,0.359,242226,0.391,0.0708,3,0.163,-8.034,1,0.026,154.66,3,0.182,folk
Sea Of Bees,Gone,0.0723,0.549,228840,0.823,6.55e-05,11,0.103,-5.626,1,0.0259,118.943,4,0.795,folk
Frank Turner,Wessex Boy,0.395,0.588,213840,0.588,0,2,0.0983,-7.418,1,0.0339,80.025,4,0.675,folk
Wake Owl,Gold,0.121,0.489,224093,0.597,0.00718,11,0.126,-8.815,0,0.0293,85.999,4,0.37,folk
The Lumineers,Slow It Down,0.929,0.428,307000,0.064,0,1,0.0859,-14.42,1,0.0374,142.436,4,0.108,folk
The Tallest Man On Earth,Troubles Will Be Gone,0.934,0.486,181853,0.43,1.21e-05,2,0.126,-8.308,1,0.0326,120.45,4,0.637,folk
The Avett Brothers,Go To Sleep,0.362,0.43,244307,0.769,0,6,0.0558,-5.366,1,0.0386,122.918,4,0.694,folk
Matthew And The Atlas,I Followed Fires,0.551,0.513,229893,0.591,5.41e-05,3,0.0975,-9.014,0,0.039,127.292,4,0.539,folk
Bright Eyes,Lua,0.802,0.603,271667,0.124,3e-05,2,0.0565,-18.301,1,0.0827,104.902,3,0.321,folk
Of Monsters and Men,Dirty Paws,0.132,0.362,278373,0.649,0.0113,3,0.0596,-7.094,1,0.0348,111.697,4,0.145,folk
The Tallest Man On Earth,Love Is All,0.931,0.63,254827,0.254,0.000375,2,0.108,-11.48,1,0.0299,107.238,4,0.357,folk
Bon Iver,Towers,0.948,0.379,188040,0.321,0.518,9,0.276,-12.44,1,0.0325,91.72,4,0.14,folk
Mumford & Sons,White Blank Page,0.212,0.324,253107,0.398,3e-05,6,0.692,-9.811,0,0.0352,113.165,4,0.291,folk
Devendra Banhart,Für Hildegard von Bingen,0.363,0.864,155067,0.397,0.5,11,0.114,-12.779,0,0.121,95.019,4,0.457,folk
The Lumineers,Big Parade,0.417,0.814,327733,0.634,0.00364,4,0.14,-13.051,1,0.0498,121.98,4,0.662,folk
Glen Hansard,Falling Slowly,0.679,0.34,244133,0.209,0.000443,0,0.101,-11.869,1,0.0279,137.042,4,0.144,folk
Edward Sharpe & The Magnetic Zeros,Home,0.32,0.545,306320,0.59,0.000389,2,0.124,-6.693,1,0.0327,111.739,4,0.125,folk
Stromae,Alors On Danse,0.135,0.75,213520,0.774,5.49e-05,1,0.286,-5.869,0,0.0809,119.936,4,0.709,french
Édith Piaf,Hymne A L'Amour,0.948,0.319,209653,0.421,0.000642,3,0.228,-7.237,1,0.0364,130.855,5,0.231,french
Air,Sexy Boy,0.00111,0.435,298467,0.651,0.609,0,0.111,-6.152,1,0.0288,111.896,4,0.196,french
Jacques Dutronc,"Il est cinq heures, Paris s'éveille",0.229,0.562,173587,0.662,0,9,0.342,-8.35,1,0.0305,139.814,4,0.749,french
Jacques Brel,La chanson des vieux amants,0.816,0.396,270467,0.26,5.26e-05,0,0.111,-11.809,0,0.0314,118.215,3,0.234,french
Yann Tiersen,La valse d'Amélie - Version originale,0.713,0.433,135907,0.564,0.275,9,0.117,-8.917,0,0.0405,192.073,3,0.867,french
Pink Martini,Sympathique,0.665,0.605,172907,0.395,0,5,0.0994,-9.812,1,0.0421,129.912,4,0.746,french
Gerard Lenorman,Si j'étais président,0.444,0.543,227120,0.683,0,11,0.176,-8.068,1,0.23,106.531,4,0.884,french
Yves Montand,Sous le ciel de Paris,0.844,0.441,176200,0.246,3.36e-06,4,0.115,-14.923,0,0.0428,106.08,4,0.618,french
Florent Pagny,Savoir aimer,0.246,0.528,280497,0.385,0.00104,6,0.0839,-8.295,0,0.0273,138.158,4,0.1,french
Alain Souchon,Le Baiser,0.0671,0.569,245067,0.569,5.52e-06,8,0.304,-8.399,1,0.0379,75.096,4,0.408,french
Céline Dion,On ne change pas,0.402,0.68,247893,0.508,0.00174,5,0.0856,-9.611,1,0.0335,95.004,4,0.478,french
Michel Polnareff,La poupée qui fait non,0.725,0.502,193707,0.597,0.00538,9,0.139,-7.874,1,0.0299,124.753,4,0.66,french
Brigitte Bardot,La madrague,0.85,0.526,154160,0.184,3.44e-05,7,0.157,-16.997,1,0.0515,114.182,4,0.564,french
Fréhel,Si tu n'étais pas là,0.954,0.281,209067,0.296,0,3,0.146,-12.264,1,0.0419,100.593,3,0.351,french
Charles Trenet,Que reste-t-il de nos amours,0.983,0.41,193747,0.137,0.00746,0,0.114,-18.649,1,0.0651,83.877,4,0.363,french
Cœur De Pirate,Comme des enfants,0.829,0.686,169107,0.354,0.0112,10,0.102,-9.284,1,0.0387,123.636,3,0.296,french
Léo Ferré,Jolie Môme,0.154,0.595,159613,0.535,0,2,0.176,-6.732,1,0.0765,145.06,4,0.619,french
Serge Gainsbourg,Baudelaire,0.622,0.481,147120,0.47,0,7,0.133,-14.253,1,0.253,79.582,3,0.918,french
Céline Dion,Pour que tu m'aimes encore,0.33,0.538,254253,0.632,2.7e-05,2,0.0587,-8.263,1,0.0759,180.105,4,0.523,french
Michel Fugain & Le Big Bazar,Une belle histoire,0.47,0.395,195307,0.578,0,9,0.171,-7.728,0,0.039,166.227,4,0.672,french
Sexion D'Assaut,Africain,0.292,0.657,246973,0.795,0,3,0.0856,-2.87,0,0.238,129.427,5,0.645,french
Camélia Jordana,Non non non (Ecouter Barbara),0.279,0.655,168253,0.636,0.00108,8,0.19,-4.778,1,0.034,111.023,4,0.397,french
Édith Piaf,Padam Padam,0.781,0.385,197627,0.283,0,5,0.0726,-8.013,0,0.0546,179.531,3,0.547,french
La Fouine,Ma meilleure,0.352,0.7,305053,0.822,0,8,0.101,-3.897,1,0.0597,86.01,4,0.717,french
Stromae,moules frites,0.196,0.547,158960,0.486,1.73e-06,10,0.321,-9.855,1,0.0976,136.893,4,0.604,french
Joe Dassin,L'Eté Indien,0.167,0.476,269320,0.602,0.000706,7,0.168,-8.929,0,0.0371,121.608,4,0.612,french
Jacques Brel,Amsterdam,0.622,0.362,200907,0.797,0,6,0.96,-5.339,0,0.185,137.369,1,0.499,french
Juliette Gréco,Sous le ciel de Paris,0.842,0.45,199107,0.197,0,7,0.336,-13.584,0,0.0342,95.551,4,0.601,french
Céline Dion,Je Sais Pas,0.618,0.37,273600,0.437,4.13e-05,4,0.325,-8.264,0,0.0294,180.221,3,0.107,french
Brigitte,Ma Benz,0.512,0.791,244747,0.338,0.000482,4,0.471,-9.763,0,0.0533,124.066,4,0.434,french
Stromae,merci,0.00569,0.556,229320,0.668,0.873,0,0.238,-9.569,0,0.031,102.007,4,0.299,french
Coldplay,A Sky Full of Stars,0.00622,0.545,267867,0.675,0.00197,6,0.214,-6.468,1,0.0279,124.973,4,0.167,french
Sexion D'Assaut,Qui t'a dit,0.21,0.906,267093,0.843,0,10,0.092,-2.114,0,0.206,109.964,4,0.677,french
Calogero,Face à la mer,0.0076,0.474,223333,0.786,0.000446,5,0.311,-6.115,0,0.0496,186.033,4,0.67,french
Jacques Dutronc,J'Aaime Les Filles,0.635,0.623,177947,0.456,1.31e-06,9,0.175,-6.408,1,0.0362,121.444,4,0.763,french
Serge Gainsbourg,La Javanaise,0.306,0.424,149240,0.461,0.00253,6,0.316,-12.861,0,0.0405,129.317,3,0.447,french
Carla Bruni,L'antilope,0.863,0.667,123480,0.398,0,7,0.336,-9.444,1,0.0383,103.836,4,0.582,french
Passenger,Let Her Go,0.385,0.509,252867,0.538,0,7,0.104,-7.335,1,0.0572,75.089,4,0.242,french
Pauline Croze,T'es beau,0.808,0.76,163159,0.506,0.00164,1,0.157,-10.181,0,0.043,138.042,3,0.506,french
Sexion D'Assaut,Avant qu'elle parte,0.0186,0.612,275773,0.568,0,5,0.357,-7.644,0,0.124,88.692,4,0.558,french
Eddy Mitchell,Couleur menthe à l'eau,0.735,0.498,209907,0.301,1.02e-06,0,0.141,-10.939,1,0.0336,142.539,4,0.267,french
Véronique Sanson,Amoureuse,0.83,0.573,222493,0.445,1.12e-05,0,0.137,-9.291,1,0.0332,128.969,4,0.45,french
